;Relativities;LowerBound;UpperBound
(Intercept);71586;49899;102700
rating.11;0.282;0.023;3.520
rating.12;1.382;1.092;1.750
rating.14;0.186;0.014;2.438
rating.2K;0.190;0.047;0.772
rating.31;1.073;0.817;1.410
rating.32;1.226;0.937;1.606
rating.33;0.605;0.390;0.941
rating.35;0.196;0.002;16.320
rating.36;0.404;0.087;1.876
rating.37;0.005;1.17E-181;2.19E+176
rating.41;0.621;0.301;1.282
rating.42;0.317;0.081;1.249
rating.43;1.543;1.135;2.098
rating.44;0.660;0.397;1.096
rating.46;1.511;1.124;2.031
rating.47;0.372;0.007;20.020
rating.51;1.569;1.228;2.006
rating.52;1.164;0.903;1.501
rating.61;0.934;0.728;1.199
rating.62;0.655;0.473;0.907
